name;iso_country;municipality;icao_code
Total RF Heliport;US;Bensalem;
Aero B Ranch Airport;US;Leoti;
Lowell Field;US;Anchor Point;
Epps Airpark;US;Harvest;
Katmai Lodge Airport;US;King Salmon;
Fulton Airport;US;Alex;
Cordes Airport;US;Cordes;
Goldstone (GTS) Airport;US;Barstow;
Williams Ag Airport;US;Biggs;
Kitchen Creek Helibase Heliport;US;Pine Valley;
Grass Patch Airport;US;Bushnell;
River Oak Airport;US;Okeechobee;
Lt World Airport;US;Lithonia;
Caffrey Heliport;US;Hiram;
Kaupulehu Heliport;US;Kailua-Kona;
Delta Shores Airport;US;Clark Fork;
Goltl Airport;US;McDonald;
Hammer Airport;US;Polo;
St Mary Medical Center Heliport;US;Hobart;
Hayenga's Cant Find Farms Airport;US;Kings;
Hayden Farm Airport;US;Gardner;
Robbins Roost Airport;US;Stanford;
Shell Chemical East Site Heliport;US;Gonzales;
Ac & R Components Heliport;US;Chatham;
Lejeune Airport;US;Crowley;
Slater Field;US;Federalsburg;
Dow Chemical Heliport;US;Ludington;
Battle Lake Municipal Airport;US;Battle Lake;
Cooper Flying Service Airport;US;Alba;
Livingston Healthcare Heliport;US;Livingston;
Bucks Airport;US;Bridgeton;
North Raleigh Airport;US;Louisburg;
Colgate-Piscataway Heliport;US;New Brunswick;
Cliche Cove Seaplane Base;US;Beekmantown;
Rodanthe Dare County Heliport;US;Rodanthe;
Weiss Airfield;US;West Bloomfield;
Miami Valley Hospital Heliport;US;Dayton;
Gull Bay Landing Airport;US;Sandsprings;
Steel Systems Heliport;US;Salem;
R J D Heliport;US;Coatesville;
Ferrell Field;US;Mercer;
McKenzie Bridge State Airport;US;Blue River;
Flying O Airport;US;Sumter;
Homan Field;US;Gary;
Tcjc-Northeast Campus Heliport;US;Fort Worth;
Alpine Range Airport;US;Everman;
Nowhere Airport;US;Goodlett;
Vaughan Airport;US;Alton;
Groundhog Mountain Airport;US;Hillsville;
Lower Granite State Airport;US;Colfax;
Howell Airport;US;Longbranch;
Northern Lite Airport;US;Waupaca;
Hawks Run Airport;US;Asotin;
Lazy J. Aerodrome;US;Beverly;
Mountain View Regional Hospital Heliport;US;Casper;
Weeski Ranch Airport;US;;
Purkeypile Airport;US;Purkeypile;
Providence Seward Medical Center Heliport;US;Seward;
Ware Island Airport;US;Clanton;
McHone Heights Airport;US;Wasilla;
DeQueen Medical Center Heliport;US;DeQueen;
Yat Heliport;US;Camp Verde;
SCE Lugo Substation Heliport;US;Hesperia;
Swansboro Country Airport;US;Placerville;
St Vincent General Hospital Heliport;US;Leadville;
Berlin Fairgrounds Heliport;US;Berlin;
Rybolt Ranch Airport;US;Orlando;
Advent Health Altamonte Springs Heliport;US;Altamonte Springs;
Cedar Knoll Flying Ranch Airport;US;Geneva;
Medical Center Heliport;US;Columbus;
The Farm Airport;US;Wrightsville;
Lava Hot Springs Airport;US;Lava Hot Springs;
Myers Field;US;Lizton;
Hoopeston Community Memorial Hospital Heliport;US;Hoopeston;
Community Hospital Heliport;US;Anderson;
William E. Koenig Airport;US;Dow;
Hilliard Airpark;US;Hilliard;
Caldwell Municipal Airport;US;Caldwell;
Flying N Ranch Airport;US;Lost Springs;
Lourdes Hospital Heliport;US;Paducah;
Barham Airport;US;Oak Ridge;
Schumaier Restricted Landing Area;US;Pinckneyville;
Country Breeze Airport;US;Slaughter;
Compaq Andover Heliport;US;Andover;
Annapolis Seaplane Base;US;Annapolis;
Saint Peter's Seaplane Base;US;Portage Lake;
Flow Through Terminal Heliport;US;Flint;
Barnes Seaplane Base;US;Cook;
Highway Patrol Troop C Headquarters Heliport;US;Town and Country;
Crystal Lakes Resort Airport;US;Fortine;
NWMC - Houghton Heliport;US;Tucson;
Topsail Airpark;US;Holly Ridge;
Moore Airfield;US;Canaan;
Albert Guido Memorial Heliport;US;Newark;
Champion Ranch Airport;US;Lake Arthur;
McGee 01 Heliport;US;Wilmington;
Lantana Ranch Airport;US;Yerington;
Vassar Hospital Heliport;US;Poughkeepsie;
Atrium Medical Center Heliport;US;Middletown;
Avita Health System Galion Hospital Heliport;US;Galion;
Spring Creek Ranch East Airport;US;Tishomingo;
Bierly(Personal Use) Airport;US;Bellefonte;
Nort's Resort Airport;US;Meshoppen;
York Airport;US;York;
Thirty Thirty Matlock Office Center Heliport;US;Arlington;
Smith Field;US;Forney;
Colonial Air Park;US;Collierville;
Clute Fire & EMS Station #1 Heliport;US;Clute;
Duckwater Airport;US;Duckwater;
La Sal Junction Airport;US;La Sal;
Pickles Airport;US;Berryville;
Willapa Harbor Heliport;US;South Bend;
Prehn Cranberry Company Airport;US;Tomah;
Whidbey General Hospital Heliport;US;Coupeville;
Odyssey Heliport;US;Renton;
Keyhole Airport;US;Pine Haven;
Ascension Seton Hays Heliport;US;Kyle;
Meadowood Ranch Heliport;US;Athens;
Barefoot Airport;US;Big Lake;
Rustic Wilderness Airport;US;Willow;
Bass Field;US;Foley;
Emerald Ridge Airport;US;Homer;
Swepi Beta Platform Ellen Heliport;US;Huntington Beach;
Shannon Field;US;Clarksdale;
Conover Air Lodge Airport;US;Frazier Park;
Mc Cullough Airport;US;Monte Vista;
Strangers Point Heliport;US;Ellington;
Osborn Airfield;US;Groveland;
Triple R Ranch Airport;US;Baker;
Doug Bolton Field;US;Commerce;
Etowah Fields Airport;US;Euharlee;
K3 Helipad Heliport;US;Honolulu;
Boone County Hospital Heliport;US;Boone;
Morgan Ranch Airport;US;Cascade;
King Ultralightport;US;Westfield;
Diamond P. Field;US;Muncie;
Condell Medical Center Heliport;US;Libertyville;
JMJ Landing Airport;US;Saint Marys;
St Claire Healthcare Heliport;US;Morehead;
Boone National Guard Heliport;US;Frankfort;
Louisiana State Police Troop G Heliport;US;Bossier City;
Windy Hill Heliport;US;Broussard;
Cuttyhunk Heliport;US;Cuttyhunk;
Garner Field;US;Brandywine;
Nadeau's Airfield;US;Acton;
Fairplains Airpark;US;Greenville;
Troy Airpark;US;Troy;
Watts Field;US;Rochdale;
Benes Service Airport;US;Valparaiso;
Iroquois Landing Seaplane Base;US;Dummer;
Penske Heliport;US;Piscataway;
FFR Animas Landing Strip;US;Animas;
McGee 02 Heliport;US;Greenville;
Paiute Meadows Airport;US;Winnemucca;
Hansen Heliport;US;Durhamville;
Zimmerman Airport;US;Fremont;
Murtha Airport;US;Conneaut;
War Veterans Colony Heliport;US;Wilburton;
Rowena Dell Airport;US;The Dalles;
Stottle Memorial Heliport;US;Honey Grove;
Lag III Heliport;US;Monroeville;
Peco Berwyn Heliport;US;Berwyn;
Cuylers Airport;PR;Vega Baja;
Miramar Residence Heliport;US;Newport;
Harpers Airport;US;Estill;
Wise River Airport;US;Wise River;
Matagorda Shore Facility Heliport;US;Matagorda;
Baylor Medical Center Heliport;US;Waxahachie;
Ellis Field;US;Rockvale;
Lucin Airport;US;Lucin;
The Greenhouse Airport;US;Culpeper;
Northstar Aviation Heliport;US;Bristol;
Cawleys South Prairie Airport;US;South Prairie;
Beer Airport;US;Hudson;
Fowler Field;US;Tonasket;
JLS Farms Airport;US;Honey Grove;
Trapper T Heliport;US;Palmer;
Joe Clouds Seaplane Base;US;Kenai;
Highland Medical Center Heliport;US;Scottsboro;
Hscmh Heliport;US;Malvern;
Thompson International Aviation Airport;US;Hereford;
Grossmont Hospital Heliport;US;La Mesa;
Lake Persimmon Airstrip;US;Lake Placid;
Ranger Heliport;US;West Palm Beach;
HIA Airport;US;Statesboro;
NGMC Lumpkin Hospital Heliport;US;Dahlonega;
Flying Y Ranch Airport;US;Council;
Davis Field Ultralightport;US;Mount Vernon;
Wix Airport;US;Monee;
Heinzman Airport;US;Arcadia;
OSF St Anthony's Health Center Heliport;US;Alton;
Valley Grain Heliport;US;Highland;
Flying H Farms Airport;US;Henderson;
Damien Heliport;US;Carville;
Fmc Nr 1 Heliport;US;Winnsboro;
Lakeside Lodge and Marina Seaplane Base;US;East Winthrop;
Hadley Airport;US;Hadley;
Upper Chesapeake Medical Center Heliport;US;Bel Air;
Maple Ridge Airport;US;Harrison;
Harold Miller Heliport;US;Bay City;
Nauerth Land Ranch Airport;US;Lakefield;
Vicksburg Medical Center Heliport;US;Vicksburg;
Cascade Field;US;Cascade;
McDonnell Airport;US;Archie;
Utirik Airport;MH;Utirik Island;
Pilots Ridge Airport;US;Carolina Beach;
Olafson Brothers Airport;US;Edinburg;
Hyde Ranch Airport;US;Comstock;
Lorden Heliport;US;Milford;
Miner's Colfax Medical Center Heliport;US;Raton;
Johnston Medical Center Heliport;US;Clayton;
Llama Ranch Airport;US;Ruby Valley;
Talmage Field;US;Riverhead;
Gibbs Field;US;Fremont;
Cleveland Clinic, Marymount Hospital Heliport;US;Garfield Heights;
Sahoma Lake Airport;US;Sapulpa;
Bluebird Airport;US;Alex;
Powwatka Ridge Airport;US;Troy;
Collegeville Heliport;US;Collegeville;
M.P. Metals Heliport;US;Berwick;
Sun View Field Airport;US;Bonner Springs;
Sandy River Airport;US;Sandy;
Seacoast Medical Center Heliport;US;Little River;
Barronena Ranch Airport;US;Hebbronville;
Eagles Landing Heliport;US;Sevierville;
Shannon Medical Center Heliport;US;San Angelo;
Brazos Polo Airport;US;Orchard;
M D K Field Heliport;US;Pearland;
AZ Minerals Corporation Airport;US;Mexican Hat;
Spangle Field;US;Spangle;
Aerostone Ranch Airport;US;Goldendale;
Lopez Medical Clinic Heliport;US;Lopez Island;
Del Sol Medical Center Heliport;US;El Paso;
Creekside Airport;US;Mertzon;
Flying W Ranch Airport;US;Soldotna;
Anniston AHP (Anniston Army Depot);US;Anniston;
North 40 Airport;US;Sutton;
Saline Memorial Hospital Heliport;US;Benton;
Gray Butte Field;US;Palmdale;
Hunt's Sky Ranch Airport;US;Julian;
Shingle Mill Heliport;US;Harwinton;
Richards Field;US;Homestead;
Tampa General Hospital Brandon Healthplex Heliport;US;Brandon;
Cross Creek Farms Airport;US;Ormond Beach;
Verge Towers Heliport;US;Monroe;
Columbus Southwest Airport;US;Columbus;
Middlekoop Airport;US;Packwood;
Lanham Field;US;Emmett;
Schertz Aerial Service - Hudson Airport;US;Hudson;
Lake Gage Seaplane Base;US;Angola;
Van Gorder Airport;US;Mansfield;
Natchez Trace Farm Airport;US;Hiseville;
Saint James Parish Hospital Heliport;US;Lutcher;
La National Guard Heliport;US;Baton Rouge;
Goddard Field;US;Haverhill;
Chesapeake City Heliport;US;Chesapeake City;
Beech Hill Airport;US;Mercer;
Rapids Airway Airport;US;Eaton Rapids;
Helblad Airport;US;Kelliher;
Nick's Flying Service Inc Airport;US;Rolling Fork;
Pluhar Airport;US;Cohagen;
Western Wake Medical Center Heliport;US;Cary;
Mc Connell Field Airport;US;Sarben;
Emmanuel Airport;US;Elmer;
McGee 04 Heliport;US;Jacksonville;
Kingston Ranch Airport;US;Sandy Valley;
Klaverack Airport;US;Hudson;
Teufel Heliport;US;Forest Grove;
Stillwater Medical Center Heliport;US;Stillwater;
